Date,Total_Revenue,Cost_of_Revenue,Gross_Profit,Premium_Revenue,Premium_Cost_Revenue,Premium_Gross_Profit,Ad_Revenue,Ad_Cost_of_revenue,Ad_gross_Profit,Monthly_active_users,Premium_Monthly_active_users,Ad_Monthly_active_users,Premium_avg_revenue_per_user,Sales_ Marketing_Cost,Research_Development_Cost,Genreal_Adminstraive_Cost,net_profit 
31-12-2022,31660000,23650000,8010000,27170000,19390000,7780000,4490000,4260000,230000,4890000,2050000,2950000,4.55,4530000,4150000,1640000,5700000
30-09-2022,30360000,22860000,7500000,26510000,19080000,7430000,3850000,3780000,70000,4560000,1950000,2730000,4.63,4320000,3860000,1600000,5220000
30-06-2022,28640000,21600000,7040000,25040000,18040000,7000000,3600000,3560000,40000,4330000,1880000,2650000,4.54,3910000,3360000,1710000,5100000
31-03-2022,26610000,19900000,6710000,23790000,17040000,6750000,2820000,2860000,-40000,4220000,1820000,2520000,4.38,2960000,2500000,1310000,6650000
31-12-2021,26890000,19770000,7120000,22950000,16250000,6700000,3940000,3520000,420000,4060000,1800000,2360000,4.4,3400000,2530000,1260000,7050000
30-09-2021,25010000,18330000,6680000,21780000,15450000,6330000,3230000,2880000,350000,3810000,1720000,2200000,4.34,2800000,2080000,1050000,7430000
30-06-2021,23310000,16680000,6630000,20560000,14230000,6330000,2750000,2450000,300000,3650000,1650000,2100000,4.29,2790000,2550000,1170000,6750000
31-03-2021,21470000,15990000,5480000,19310000,13930000,5380000,2160000,2060000,100000,3560000,1580000,2080000,4.12,2360000,1960000,1020000,5620000
31-12-2020,21680000,15930000,5750000,18870000,13420000,5450000,2810000,2510000,300000,3450000,1550000,1990000,4.26,2940000,2320000,1180000,5060000
30-09-2020,19750000,14860000,4890000,17900000,13020000,4880000,1850000,1840000,10000,3200000,1440000,1850000,4.19,2560000,1760000,970000,4490000
30-06-2020,18890000,14100000,4790000,17580000,12630000,4950000,1310000,1470000,-160000,2990000,1380000,1700000,4.41,2480000,2670000,1310000,3120000
31-03-2020,18480000,13760000,4720000,17000000,12190000,4810000,1480000,1570000,-90000,2860000,1300000,1630000,4.42,2310000,1620000,960000,4550000
31-12-2019,18550000,13810000,4740000,16380000,11890000,4490000,2170000,1920000,250000,2710000,1240000,1530000,4.65,2760000,1730000,1020000,3970000
30-09-2019,17310000,12900000,4410000,15610000,11420000,4190000,1700000,1480000,220000,2480000,1130000,1410000,4.67,1780000,1360000,730000,4950000
30-06-2019,16670000,12330000,4340000,15020000,10890000,4130000,1650000,1440000,210000,2320000,1080000,1290000,4.86,2000000,1510000,860000,4310000
31-03-2019,15110000,11380000,3730000,13850000,10230000,3620000,1260000,1150000,110000,2170000,1000000,1230000,4.71,1720000,1550000,930000,3260000
31-12-2018,14950000,10960000,3990000,13200000,9590000,3610000,1750000,1470000,280000,2070000,960000,1160000,4.89,1630000,1000000,420000,4830000
30-09-2018,13520000,10100000,3420000,12100000,8940000,3160000,1420000,1160000,260000,1910000,870000,1090000,4.73,1460000,1350000,670000,3360000
30-06-2018,12730000,9440000,3290000,11500000,8410000,3090000,1230000,1030000,200000,1800000,830000,1010000,4.89,1730000,1430000,1030000,2390000
31-03-2018,11390000,8560000,2830000,10370000,7670000,2700000,1020000,890000,130000,1700000,750000,990000,4.72,1380000,1150000,710000,2420000
31-12-2017,14490000,8670000,5820000,10180000,7610000,2570000,1300000,1060000,240000,1600000,710000,930000,5.24,1730000,1230000,730000,4940000
30-09-2017,10320000,8020000,2300000,9230000,7110000,2120000,1090000,910000,180000,1500000,620000,910000,5.06,1380000,980000,670000,1570000
30-06-2017,10070000,7750000,2320000,9040000,6860000,2180000,1030000,890000,140000,1380000,590000,830000,5.53,1460000,950000,700000,1530000
31-03-2017,9020000,7970000,1050000,8280000,7100000,1180000,740000,870000,-130000,1310000,520000,820000,5.46,1100000,800000,540000,-340000
